DOI cattype cat T   log_conv    sel author  rxntype oxidant catalysis   single-site tag category
10.1006/jcat.1999.2732  MoO3/silica Mo  773 -2.00   13.00   Sugino  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  823 -1.54   8.00    Sugino  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  873 -1.09   11.00   Sugino  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  923 -0.92   4.00    Sugino  gas O2  heterogeneous   no  None    Oxide
GB1244001A  MoO3-ZnO/alumina-silicate   Mo  766 -1.64   51.00   dowden  gas O2  heterogeneous   no  None    Oxide
GB1244001A  (MoO3)3-Fe2O3/alumina-silica    Mo  712 -1.68   65.00   dowden  gas O2  heterogeneous   no  None    Oxide
GB1244001A  MoO3-UO2/alumina-silica Mo  743 -1.46   75.00   dowden  gas O2  heterogeneous   no  None    Oxide
GB1244001A  MoO3-VO2/alumina-silica Mo  766 -1.59   49.00   dowden  gas O2  heterogeneous   no  None    Oxide
GB1244001A  MoO3/alumina-silica Mo  733 -1.64   19.00   dowden  gas O2  heterogeneous   no  None    Oxide
10.1007/s11244-005-2894-5   MoOx/La-Co-O    Mo  693 -1.05   28.80   Zhang   gas O2  heterogeneous   no  None    Oxide
10.1007/s11244-005-2894-6   MoOx/La-Co-O    Mo  693 -0.95   60.00   Zhang   gas O2  heterogeneous   no  None    Oxide
10.1007/s11244-005-2894-7   MoOx/La-Co-O    Mo  693 -0.94   33.20   Zhang   gas O2  heterogeneous   no  None    Oxide
10.1016/S1003-9953(08)60021-3   Mo-V-Cr-Bi  Mo  753 -1.00   41.00   Zhang   gas O2  heterogeneous   no  None    Oxide
10.1039/C6CC07893A  SSZ-13  Cu  523 -3.80   24.00   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  533 -3.66   27.00   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  538 -3.49   20.70   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  543 -3.26   15.80   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  548 -3.03   11.40   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  573 -2.12   2.30    Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  573 -2.92   12.50   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  543 -2.89   3.00    Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  573 -2.92   2.00    Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  SSZ-13  Cu  543 -3.66   39.70   Lobo    gas N2O heterogeneous   yes None    SSZ-13
10.1039/C6CC07893A  MOR Cu  543 -3.89   24.00   Lobo    gas N2O heterogeneous   yes None    MOR
10.1039/C6CC07893A  MOR Cu  543 -3.20   1.10    Lobo    gas N2O heterogeneous   yes None    MOR
10.1039/C6CC07893A  ZSM-5   Cu  543 -2.17   0.30    Lobo    gas N2O heterogeneous   yes None    ZSM-5
10.1021/acscentsci.6b00139  ZSM-5   Cu  483 -5.00   71.00   Leshkov gas O2  heterogeneous   yes None    ZSM-5
None    SSZ-13  Cu  623 -3.00   90.00   Leshkov gas O2  heterogeneous   yes thesis  SSZ-13
10.1002/anie.201108706  ZSM-5   Cu  323 -2.52   83.00   Hutchings   aqueous H2O2    heterogeneous   yes None    ZSM-5
10.1002/anie.201108706  Cu-Fe/ZSM-5 Fe  323 -2.15   85.00   Hutchings   aqueous H2O2    heterogeneous   yes None    ZSM-5
10.1002/anie.201108706  Cu-Fe/ZSM-5 Fe  323 -2.30   88.00   Hutchings   aqueous H2O2    heterogeneous   yes None    ZSM-5
10.1002/anie.201108706  Cu-Fe/silicalite    Fe  323 -1.00   93.00   Hutchings   aqueous H2O2    heterogeneous   yes None    Silicalite
10.1042/bj1650395   MMO Fe  300 -1.82   99.00   Dalton  aqueous O2  homogeneous yes enzyme  MMO
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  573 -1.44   1.90    Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  573 -1.72   9.30    Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  573 -1.89   19.00   Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  573 -2.12   42.00   Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  548 -1.66   2.70    Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  548 -2.19   31.00   Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  548 -2.57   57.00   Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/j.jcat.2014.07.009  ZSM-5   Fe  548 -2.72   62.00   Panov   gas N2O heterogeneous   yes None    ZSM-5
10.1016/S0926-860X(97)00105-1   CuCl16Pc    Cu  273 -1.32   40.20   Raja    aqueous O2/TBHP homogeneous yes None    Phthalocyanine
10.1016/S0926-860X(97)00105-2   CoCl16Pc    Co  273 -1.51   10.20   Raja    aqueous O2/TBHP homogeneous yes None    Phthalocyanine
10.1016/S0926-860X(97)00105-3   FeCl16Pc    Fe  273 -1.28   41.20   Raja    aqueous O2/TBHP homogeneous yes None    Phthalocyanine
